,full_name,name,vendor,snmp_sysobjectid
0,D-Link DES-1210-28/ME/B3,DES-1210-28/ME/B3,D-Link,1.3.6.1.4.1.171.10.75.15.3
1,Huawei Technologies Co. S5624F,S5624F,Huawei Technologies Co.,1.3.6.1.4.1.2011.10.1.100
2,Cisco Systems C9300-48UXM,C9300-48UXM,Cisco Systems,1.3.6.1.4.1.9.1.2494
3,Juniper Networks E120,E120,Juniper Networks,1.3.6.1.4.1.4874.1.1.1.6.2
4,Huawei Technologies Co. S5328C-SI,S5328C-SI,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.23.102
5,Huawei Technologies Co. S2318TP-SI,S2318TP-SI,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.23.89
6,Huawei Technologies Co. S5320-32C-HI-24S-DC,S5320-32C-HI-24S-DC,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.23.381
7,Qtech QSW-3450-28T-AC,QSW-3450-28T-AC,Qtech,1.3.6.1.4.1.27514.1.1.1.228
8,Qtech QSW-2850-28T-POE-AC,QSW-2850-28T-POE-AC,Qtech,1.3.6.1.4.1.27514.1.1.2.224
9,Huawei Technologies Co. S5324TP-SI-AC,S5324TP-SI-AC,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.23.98
10,Qtech QSW-2800-28T-AC,QSW-2800-28T-AC,Qtech,1.3.6.1.4.1.27514.1.1.1.49
11,Huawei Technologies Co. S2309TP-SI,S2309TP-SI,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.23.87
12,D-Link DES-1228/ME/A2,DES-1228/ME/A2,D-Link,1.3.6.1.4.1.171.10.116.1
13,Qtech QSW-3470-52T-AC,QSW-3470-52T-AC,Qtech,1.3.6.1.4.1.27514.1.1.1.280
14,Huawei Technologies Co. MA5600,MA5600,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.80
15,Cisco Systems WS-C2960-8TC-L,WS-C2960-8TC-L,Cisco Systems,1.3.6.1.4.1.9.1.798
16,D-Link DGS-3426G,DGS-3426G,D-Link,1.3.6.1.4.1.171.10.70.11
17,D-Link DGS-3120-24SC/A1,DGS-3120-24SC/A1,D-Link,1.3.6.1.4.1.171.10.117.1.3
18,Huawei Technologies Co. S5352C-EI,S5352C-EI,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.23.97
19,Qtech QSW-2855-10T-AC,QSW-2855-10T-AC,Qtech,1.3.6.1.4.1.27514.1.1.1.282
20,Cisco Systems WS-C3548-XL,WS-C3548-XL,Cisco Systems,1.3.6.1.4.1.9.1.278
21,D-Link DES-3200-18/B1,DES-3200-18/B1,D-Link,1.3.6.1.4.1.171.10.113.1.2
22,D-Link DES-3200-28F/C1,DES-3200-28F/C1,D-Link,1.3.6.1.4.1.171.10.113.6.1
23,D-Link DES-3810-28,DES-3810-28,D-Link,1.3.6.1.4.1.8886.6.140
24,Huawei Technologies Co. MA5105,MA5105,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.6.5.21
25,D-Link DES-3200-28F,DES-3200-28F,D-Link,1.3.6.1.4.1.171.10.113.1.4
26,Huawei Technologies Co. UA5000,UA5000,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.78
27,Qtech QSW-2850-28T-DC,QSW-2850-28T-DC,Qtech,1.3.6.1.4.1.27514.1.1.1.337
28,Cisco Systems CISCO7606-S,CISCO7606-S,Cisco Systems,
29,Cisco Systems C9500-12Q,C9500-12Q,Cisco Systems,1.3.6.1.4.1.9.1.2593
30,Qtech QSW-2500E-10,QSW-2500E-10,Qtech,1.3.6.1.4.1.27514.6.55
31,ZyXEL IES-2000,IES-2000,ZyXEL,1.3.6.1.4.1.890.1.5.13.2
32,Edge-Core ES3552M,ES3552M,Edge-Core,1.3.6.1.4.1.259.6.10.94
33,D-Link DES-3018,DES-3018,D-Link,1.3.6.1.4.1.171.10.63.2
34,Eltex MES-3116,MES-3116,Eltex,1.3.6.1.4.1.35265.1.38
35,Cisco Systems WS-C3560-48PS,WS-C3560-48PS,Cisco Systems,1.3.6.1.4.1.9.1.564
36,ZyXEL ES-3124-4F,ES-3124-4F,ZyXEL,1.3.6.1.4.1.890.1.5.8.26
37,Cisco Systems WS-C2960S-24TS-S,WS-C2960S-24TS-S,Cisco Systems,1.3.6.1.4.1.9.1.1257
38,D-Link DES-3528,DES-3528,D-Link,1.3.6.1.4.1.171.10.105.1
39,D-Link DGS-3700-12,DGS-3700-12,D-Link,1.3.6.1.4.1.171.10.102.1.1
40,D-Link DGS-3000-10TC,DGS-3000-10TC,D-Link,1.3.6.1.4.1.171.10.133.1.1
41,Huawei Technologies Co. S5300-10P-LI-AC,S5300-10P-LI-AC,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.23.213
42,Cisco Systems C9300-48P,C9300-48P,Cisco Systems,1.3.6.1.4.1.9.1.2494
43,Huawei Technologies Co. S2700-52P-EI-AC,S2700-52P-EI-AC,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.23.119
44,Qtech QSW-2900-24T4,QSW-2900-24T4,Qtech,1.3.6.1.4.1.27514.1.3.25.2
45,Juniper Networks mx104,mx104,Juniper Networks,1.3.6.1.4.1.2636.1.1.1.2.97
46,Juniper Networks ex4200-24f,ex4200-24f,Juniper Networks,1.3.6.1.4.1.2636.1.1.1.2.31
47,Juniper Networks ex4200-24t,ex4200-24t,Juniper Networks,1.3.6.1.4.1.2636.1.1.1.2.31
48,Qtech QSW-3470-10T-AC-POE,QSW-3470-10T-AC-POE,Qtech,1.3.6.1.4.1.27514.1.1.1.356
49,Cisco Systems C9500-40X,C9500-40X,Cisco Systems,1.3.6.1.4.1.9.1.2593
50,Huawei Technologies Co. S3352P-SI,S3352P-SI,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.23.78
51,Eltex MXA24,MXA24,Eltex,1.3.6.1.4.1.34300.1.6
52,ZyXEL MGS-3712,MGS-3712,ZyXEL,1.3.6.1.4.1.890.1.5.8.47
53,ZyXEL ES3500-8PD,ES3500-8PD,ZyXEL,1.3.6.1.4.1.890.1.5.8.72
54,Cisco Systems N3K-C3064PQ-10GE,N3K-C3064PQ-10GE,Cisco Systems,1.3.6.1.4.1.9.12.3.1.3.1105
55,Eltex MES-3324F,MES-3324F,Eltex,1.3.6.1.4.1.35265.1.81
56,D-Link DES-3200-28/A1,DES-3200-28/A1,D-Link,1.3.6.1.4.1.171.10.113.1.3
57,Qtech QSW-2800-10T-AC-RPS,QSW-2800-10T-AC-RPS,Qtech,1.3.6.1.4.1.27514.1.1.1.25
58,Huawei Technologies Co. S3928P,S3928P,Huawei Technologies Co.,1.3.6.1.4.1.2011.10.1.13
59,ZyXEL ES-2108,ES-2108,ZyXEL,1.3.6.1.4.1.890.1.5.8.18
60,Qtech QSW-3470-28T-AC,QSW-3470-28T-AC,Qtech,1.3.6.1.4.1.27514.1.1.1.281
61,ZyXEL ES-3124,ES-3124,ZyXEL,1.3.6.1.4.1.890.1.5.8.12
62,D-Link DES-3016,DES-3016,D-Link,1.3.6.1.4.1.171.10.63.10
63,Cisco Systems WS-C2960-48TT-L,WS-C2960-48TT-L,Cisco Systems,1.3.6.1.4.1.9.1.717
64,Qtech QSW-3470-28T-DC,QSW-3470-28T-DC,Qtech,1.3.6.1.4.1.27514.1.1.1.285
65,Edge-Core ECS4100-28T,ECS4100-28T,Edge-Core,1.3.6.1.4.1.259.10.1.46.104
66,D-Link DGS-3100-24TG,DGS-3100-24TG,D-Link,1.3.6.1.4.1.171.10.94.5
67,Eltex MES-2324B,MES-2324B,Eltex,1.3.6.1.4.1.35265.1.83
68,Huawei Technologies Co. S3328TP-EI,S3328TP-EI,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.23.81
69,D-Link DAS-3224/E,DAS-3224/E,D-Link,1.3.6.1.4.1.3646.1300.202
70,Cisco Systems WS-C3750G-24TS-1U,WS-C3750G-24TS-1U,Cisco Systems,1.3.6.1.4.1.9.1.624
71,Huawei Technologies Co. MA5605,MA5605,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.80.1
72,D-Link DES-3200-28,DES-3200-28,D-Link,1.3.6.1.4.1.171.10.113.5.1
73,Huawei Technologies Co. S5300-28X-LI-24S-DC,S5300-28X-LI-24S-DC,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.23.219
74,Cisco Systems C9300-48U,C9300-48U,Cisco Systems,1.3.6.1.4.1.9.1.2494
75,D-Link DGS-1100-06/ME,DGS-1100-06/ME,D-Link,1.3.6.1.4.1.27514.1.1.1.337
76,Eltex MES-2124,MES-2124,Eltex,1.3.6.1.4.1.35265.1.43
77,Juniper Networks mx480,mx480,Juniper Networks,1.3.6.1.4.1.2636.1.1.1.2.25
78,Cisco Systems WS-C2960-24TT-L,WS-C2960-24TT-L,Cisco Systems,1.3.6.1.4.1.9.1.716
79,Cisco Systems ME-3600X-24FS-M,ME-3600X-24FS-M,Cisco Systems,1.3.6.1.4.1.9.1.1250
80,D-Link DGS-3420-28TC,DGS-3420-28TC,D-Link,1.3.6.1.4.1.171.10.119.1
81,Cisco Systems WS-C3750-24TS,WS-C3750-24TS,Cisco Systems,1.3.6.1.4.1.9.1.516
82,Cisco Systems WS-C2960-24-S,WS-C2960-24-S,Cisco Systems,1.3.6.1.4.1.9.1.929
83,D-Link DES-3200-10/A1,DES-3200-10/A1,D-Link,1.3.6.1.4.1.171.10.113.1.1
84,D-Link DES-1228/ME/A1,DES-1228/ME/A1,D-Link,1.3.6.1.4.1.171.10.116.1
85,Huawei Technologies Co. MA5600T,MA5600T,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.80.8
86,Huawei Technologies Co. S5328C-EI-24S,S5328C-EI-24S,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.23.96
87,Qtech QSW-2800-10T-AC,QSW-2800-10T-AC,Qtech,1.3.6.1.4.1.27514.1.1.1.48
88,D-Link DES-3200-18/C1,DES-3200-18/C1,D-Link,1.3.6.1.4.1.171.10.113.3.1
89,Huawei Technologies Co. S5628F,S5628F,Huawei Technologies Co.,1.3.6.1.4.1.2011.10.1.232
90,Cisco Systems WS-C3550-12T,WS-C3550-12T,Cisco Systems,1.3.6.1.4.1.9.1.368
91,Juniper Networks ex3200-48t,ex3200-48t,Juniper Networks,
92,Eltex MES-3108F,MES-3108F,Eltex,1.3.6.1.4.1.35265.1.36
93,SKS SKS-16E1-IP-ES-L,SKS-16E1-IP-ES-L,SKS,1.3.6.1.4.1.40535.1.26
94,Cisco Systems WS-C2960G-24TC-L,WS-C2960G-24TC-L,Cisco Systems,1.3.6.1.4.1.9.1.696
95,Cisco Systems WS-C6509-V-E,WS-C6509-V-E,Cisco Systems,1.3.6.1.4.1.9.1.832
96,D-Link DGS-3420-28SC/B1,DGS-3420-28SC/B1,D-Link,1.3.6.1.4.1.171.10.119.2
97,Cisco Systems WS-C2940-8TT-S,WS-C2940-8TT-S,Cisco Systems,1.3.6.1.4.1.9.1.540
98,Huawei Technologies Co. S5328C-HI,S5328C-HI,Huawei Technologies Co.,1.3.6.1.4.1.2011.2.23.155
99,D-Link DGS-1210-20/ME/A1,DGS-1210-20/ME/A1,D-Link,1.3.6.1.4.1.171.10.76.31.1
100,Cisco Systems WS-C3550-48,WS-C3550-48,Cisco Systems,1.3.6.1.4.1.9.1.367
101,Qtech QSW-4610-18T-AC,QSW-4610-18T-AC,Qtech,1.3.6.1.4.1.27514.1.1.1.344
102,Raisecom ISCOM2608G-2GE-PWR-AC,ISCOM2608G-2GE-PWR-AC,Raisecom,1.3.6.1.4.1.8886.6.214
